Title,Artist
Die with a Smile,Lady GagaandBruno Mars
Luther,Kendrick LamarandSZA
A Bar Song (Tipsy),Shaboozey
Lose Control,Teddy Swims
Birds of a Feather,Billie Eilish
Beautiful Things,Benson Boone
Ordinary,Alex Warren
I Had Some Help,Post MalonefeaturingMorgan Wallen
APT.,RoséandBruno Mars
Pink Pony Club,Chappell Roan
Love Somebody,Morgan Wallen
Espresso,Sabrina Carpenter
I'm the Problem,Morgan Wallen
That's So True,Gracie Abrams
TV Off,Kendrick LamarfeaturingLefty Gunplay
Timeless,The WeekndandPlayboi Carti
Not Like Us,Kendrick Lamar
Just in Case,Morgan Wallen
Taste,Sabrina Carpenter
Squabble Up,Kendrick Lamar
30 for 30,SZAandKendrick Lamar
Mutt,Leon Thomas
Good News,Shaboozey
Nokia,Drake
Golden,"Huntrix:Ejae,Audrey NunaandRei Ami"
Wildflower,Billie Eilish
What I Want,Morgan WallenfeaturingTate McRae
Messy,Lola Young
Stargazing,Myles Smith
Love Me Not,Ravyn Lenae
"Good Luck, Babe!",Chappell Roan
No One Noticed,The Marías
All the Way,BigXthaPlugfeaturingBailey Zimmerman
Too Sweet,Hozier
Worst Way,Riley Green
Sailor Song,Gigi Perez
Sorry I'm Here for Someone Else,Benson Boone
Manchild,Sabrina Carpenter
Anxiety,Doechii
I Got Better,Morgan Wallen
Sticky,"Tyler, the CreatorfeaturingGloRilla,Sexyy RedandLil Wayne"
Undressed,Sombr
I Never Lie,Zach Top
Back to Friends,Sombr
Bed Chem,Sabrina Carpenter
Sports Car,Tate McRae
Mystical Magical,Benson Boone
Whatchu Kno About Me,GloRillaandSexyy Red
Indigo,Sam BarberfeaturingAvery Anna
Please Please Please,Sabrina Carpenter
DTMF,Bad Bunny
Blue Strips,Jessie Murph
Peekaboo,Kendrick LamarfeaturingAzChike
Your Idol,"Saja Boys:Andrew Choi, Neckwav, Danny Chung,Kevin Wooand Samuil Lee"
High Road,Koe WetzelfeaturingJessie Murph
Abracadabra,Lady Gaga
Who,Jimin
Burning Blue,Mariah the Scientist
All I Want for Christmas Is You,Mariah Carey
Daisies,Justin Bieber
Soda Pop,"Saja Boys:Andrew Choi, Neckwav, Danny Chung,Kevin Wooand Samuil Lee"
Like Him,"Tyler, the CreatorfeaturingLola Young"
Residuals,Chris Brown
Smile,Morgan Wallen
Last Christmas,Wham!
Am I Okay?,Megan Moroney
Rockin' Around the Christmas Tree,Brenda Lee
How It's Done,"Huntrix:Ejae,Audrey NunaandRei Ami"
Happen to Me,Russell Dickerson
Baile Inolvidable,Bad Bunny
Weren't for the Wind,Ella Langley
I Ain't Comin' Back,Morgan WallenfeaturingPost Malone
Cry for Me,The Weeknd
Bad Dreams,Teddy Swims
Denial Is a River,Doechii
BMF,SZA
Eoo,Bad Bunny
I'm Gonna Love You,Cody JohnsonandCarrie Underwood
I Am Not Okay,Jelly Roll
Backup Plan,Bailey ZimmermanandLuke Combs
Jingle Bell Rock,Bobby Helms
Revolving Door,Tate McRae
What It Sounds Like,"Huntrix:Ejae,Audrey NunaandRei Ami"
Hard Fought Hallelujah,Brandon LakeandJelly Roll
Somebody Loves Me,PartyNextDoorandDrake
Liar,Jelly Roll
Tu Boda,Óscar MaydonandFuerza Regida
After All the Bars Are Closed,Thomas Rhett
Nuevayol,Bad Bunny
20 Cigarettes,Morgan Wallen
Rather Lie,Playboi Cartiandthe Weeknd
Free,EjaeandAndrew Choi
Takedown,"Huntrix:Ejae,Audrey NunaandRei Ami"
Heart of a Woman,Summer Walker
House Again,Hudson Westbrook
Dark Thoughts,Lil Tecca
No Pole,Don Toliver
Folded,Kehlani
Superman,Morgan Wallen
Loco,Netón Vega
